2023/09/04 15:10:13 第38块共58, Range头: 1939865637-1992294437, 应下载大小=1992294438, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:10:23 第39块共58, Range头: 1992294438-2044723238, 应下载大小=2044723239, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:10:32 第40块共58, Range头: 2044723239-2097152039, 应下载大小=2097152040, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:10:42 第41块共58, Range头: 2097152040-2149580840, 应下载大小=2149580841, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:10:52 第42块共58, Range头: 2149580841-2202009641, 应下载大小=2202009642, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:11:01 第43块共58, Range头: 2202009642-2254438442, 应下载大小=2254438443, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:11:11 第44块共58, Range头: 2254438443-2306867243, 应下载大小=2306867244, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:11:20 第45块共58, Range头: 2306867244-2359296044, 应下载大小=2359296045, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:11:30 第46块共58, Range头: 2359296045-2411724845, 应下载大小=2411724846, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:11:40 第47块共58, Range头: 2411724846-2464153646, 应下载大小=2464153647, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:11:50 第48块共58, Range头: 2464153647-2516582447, 应下载大小=2516582448, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:12:00 第49块共58, Range头: 2516582448-2569011248, 应下载大小=2569011249, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:12:09 第50块共58, Range头: 2569011249-2621440049, 应下载大小=2621440050, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:12:19 第51块共58, Range头: 2621440050-2673868850, 应下载大小=2673868851, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:12:30 第52块共58, Range头: 2673868851-2726297651, 应下载大小=2726297652, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:12:40 第53块共58, Range头: 2726297652-2778726452, 应下载大小=2778726453, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:12:50 第54块共58, Range头: 2778726453-2831155253, 应下载大小=2831155254, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:13:00 第55块共58, Range头: 2831155254-2883584054, 应下载大小=2883584055, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:13:09 第56块共58, Range头: 2883584055-2936012855, 应下载大小=2936012856, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:13:19 第57块共58, Range头: 2936012856-2988441656, 应下载大小=2988441657, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:13:29 第58块共58, Range头: 2988441657-3038794456, 应下载大小=3038794457, 总大小=3038794457, crc=8173688707137967077
2023/09/04 15:13:34 已下载:0, 完整请求:[{0 52428800 false} {52428801 104857601 false} {104857602 157286402 false} {157286403 209715203 false} {209715204 262144004 false} {262144005 314572805 false} {314572806 367001606 false} {367001607 419430407 false} {419430408 471859208 false} {471859209 524288009 false} {524288010 576716810 false} {576716811 629145611 false} {629145612 681574412 false} {681574413 734003213 false} {734003214 786432014 false} {786432015 838860815 false} {838860816 891289616 false} {891289617 943718417 false} {943718418 996147218 false} {996147219 1048576019 false} {1048576020 1101004820 false} {1101004821 1153433621 false} {1153433622 1205862422 false} {1205862423 1258291223 false} {1258291224 1310720024 false} {1310720025 1363148825 false} {1363148826 1415577626 false} {1415577627 1468006427 false} {1468006428 1520435228 false} {1520435229 1572864029 false} {1572864030 1625292830 false} {1625292831 1677721631 false} {1677721632 1730150432 false} {1730150433 1782579233 false} {1782579234 1835008034 false} {1835008035 1887436835 false} {1887436836 1939865636 false} {1939865637 1992294437 false} {1992294438 2044723238 false} {2044723239 2097152039 false} {2097152040 2149580840 false} {2149580841 2202009641 false} {2202009642 2254438442 false} {2254438443 2306867243 false} {2306867244 2359296044 false} {2359296045 2411724845 false} {2411724846 2464153646 false} {2464153647 2516582447 false} {2516582448 2569011248 false} {2569011249 2621440049 false} {2621440050 2673868850 false} {2673868851 2726297651 false} {2726297652 2778726452 false} {2778726453 2831155253 false} {2831155254 2883584054 false} {2883584055 2936012855 false} {2936012856 2988441656 false} {2988441657 3040870457 false} {3040870458 3093299258 false} {3093299259 3145728059 false} {3145728060 3198156860 false} {3198156861 3239624590 true}]
2023/09/04 15:13:46 第1块共62, Range头: 0-52428800, 应下载大小=52428801, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:13:56 第2块共62, Range头: 52428801-104857601, 应下载大小=104857602, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:14:05 第3块共62, Range头: 104857602-157286402, 应下载大小=157286403, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:14:15 第4块共62, Range头: 157286403-209715203, 应下载大小=209715204, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:14:26 第5块共62, Range头: 209715204-262144004, 应下载大小=262144005, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:14:36 第6块共62, Range头: 262144005-314572805, 应下载大小=314572806, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:14:46 第7块共62, Range头: 314572806-367001606, 应下载大小=367001607, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:14:57 第8块共62, Range头: 367001607-419430407, 应下载大小=419430408, 总大小=3239624591, crc=11368393171334094695
